12/22/2022 04:51:08 AM ----------------------------------------------------------------------------------------------------
12/22/2022 04:51:08 AM Name                                                                   Weight Shape                   Total Parameters               Trainable                     
12/22/2022 04:51:08 AM encoder.resnet.6.4.bn1.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.4.bn1.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.4.conv2.weight                                        torch.Size([256, 256, 3, 3])   589824                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.4.bn2.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.4.bn2.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.4.conv3.weight                                        torch.Size([1024, 256, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.4.bn3.weight                                          torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.4.bn3.bias                                            torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.5.conv1.weight                                        torch.Size([256, 1024, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.5.bn1.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.5.bn1.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.5.conv2.weight                                        torch.Size([256, 256, 3, 3])   589824                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.5.bn2.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.5.bn2.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.5.conv3.weight                                        torch.Size([1024, 256, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.5.bn3.weight                                          torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.5.bn3.bias                                            torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.6.conv1.weight                                        torch.Size([256, 1024, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.6.bn1.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.6.bn1.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.6.conv2.weight                                        torch.Size([256, 256, 3, 3])   589824                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.6.bn2.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.6.bn2.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.6.conv3.weight                                        torch.Size([1024, 256, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.6.bn3.weight                                          torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.6.bn3.bias                                            torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.7.conv1.weight                                        torch.Size([256, 1024, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.7.bn1.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.7.bn1.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.7.conv2.weight                                        torch.Size([256, 256, 3, 3])   589824                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.7.bn2.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.7.bn2.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.7.conv3.weight                                        torch.Size([1024, 256, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.7.bn3.weight                                          torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.7.bn3.bias                                            torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.8.conv1.weight                                        torch.Size([256, 1024, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.8.bn1.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.8.bn1.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.8.conv2.weight                                        torch.Size([256, 256, 3, 3])   589824                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.8.bn2.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.8.bn2.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.8.conv3.weight                                        torch.Size([1024, 256, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.8.bn3.weight                                          torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.8.bn3.bias                                            torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.9.conv1.weight                                        torch.Size([256, 1024, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.9.bn1.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.9.bn1.bias                                            torch.Size([256])              256                            0                             
